,date,visitor_team,visitor_team_points,home_team,home_team_points,attendance,arena
0,20150101,Denver Nuggets,101,Chicago Bulls,106,"21,794",United Center
1,20150101,Sacramento Kings,110,Minnesota Timberwolves,107,"13,337",Target Center
2,20150102,Cleveland Cavaliers,91,Charlotte Hornets,87,"19,307",Time Warner Cable Arena
3,20150102,Brooklyn Nets,100,Orlando Magic,98,"17,008",Amway Center
4,20150102,Dallas Mavericks,119,Boston Celtics,101,"18,624",TD Garden
5,20150102,Detroit Pistons,97,New York Knicks,81,"19,812",Madison Square Garden (IV)
6,20150102,Houston Rockets,83,New Orleans Pelicans,111,"17,705",Smoothie King Center
7,20150102,Washington Wizards,102,Oklahoma City Thunder,109,"18,203",Chesapeake Energy Arena
8,20150102,Indiana Pacers,94,Milwaukee Bucks,91,"16,238",BMO Harris Bradley Center
9,20150102,Philadelphia 76ers,96,Phoenix Suns,112,"16,514",US Airways Center
10,20150102,Atlanta Hawks,98,Utah Jazz,92,"19,029",EnergySolutions Arena
11,20150102,Toronto Raptors,105,Golden State Warriors,126,"19,596",Oracle Arena
12,20150102,Memphis Grizzlies,109,Los Angeles Lakers,106,"18,997",STAPLES Center
13,20150103,Charlotte Hornets,98,Orlando Magic,90,"15,274",Amway Center
14,20150103,Boston Celtics,104,Chicago Bulls,109,"21,820",United Center
15,20150103,Miami Heat,79,Houston Rockets,115,"18,338",Toyota Center
16,20150103,Utah Jazz,101,Minnesota Timberwolves,89,"13,702",Target Center
17,20150103,Washington Wizards,92,San Antonio Spurs,101,"18,581",AT&T Center
18,20150103,Memphis Grizzlies,85,Denver Nuggets,114,"16,350",Pepsi Center
19,20150103,Atlanta Hawks,115,Portland Trail Blazers,107,"19,829",Moda Center
20,20150103,Philadelphia 76ers,91,Los Angeles Clippers,127,"19,060",STAPLES Center
21,20150104,Dallas Mavericks,109,Cleveland Cavaliers,90,"20,562",Quicken Loans Arena
22,20150104,Sacramento Kings,95,Detroit Pistons,114,"12,254",The Palace of Auburn Hills
23,20150104,Brooklyn Nets,84,Miami Heat,88,"20,181",AmericanAirlines Arena
24,20150104,Milwaukee Bucks,95,New York Knicks,82,"19,812",Madison Square Garden (IV)
25,20150104,Toronto Raptors,109,Phoenix Suns,125,"17,166",US Airways Center
26,20150104,Indiana Pacers,87,Los Angeles Lakers,88,"18,997",STAPLES Center
27,20150105,Cleveland Cavaliers,92,Philadelphia 76ers,95,"17,771",Wells Fargo Center
28,20150105,Charlotte Hornets,104,Boston Celtics,95,"16,720",TD Garden
29,20150105,Dallas Mavericks,96,Brooklyn Nets,88,"17,732",Barclays Center
30,20150105,Houston Rockets,105,Chicago Bulls,114,"21,510",United Center
31,20150105,New York Knicks,83,Memphis Grizzlies,105,"16,888",FedEx Forum
32,20150105,Denver Nuggets,110,Minnesota Timberwolves,101,"10,386",Target Center
33,20150105,Washington Wizards,92,New Orleans Pelicans,85,"16,182",Smoothie King Center
34,20150105,Indiana Pacers,105,Utah Jazz,101,"17,378",EnergySolutions Arena
35,20150105,Los Angeles Lakers,94,Portland Trail Blazers,98,"19,827",Moda Center
36,20150105,Oklahoma City Thunder,91,Golden State Warriors,117,"19,596",Oracle Arena
37,20150105,Atlanta Hawks,107,Los Angeles Clippers,98,"19,060",STAPLES Center
38,20150106,Phoenix Suns,102,Milwaukee Bucks,96,"12,311",BMO Harris Bradley Center
39,20150106,Detroit Pistons,105,San Antonio Spurs,104,"18,581",AT&T Center
40,20150107,New Orleans Pelicans,94,Charlotte Hornets,98,"15,171",Time Warner Cable Arena
41,20150107,Houston Rockets,105,Cleveland Cavaliers,93,"20,562",Quicken Loans Arena
42,20150107,Milwaukee Bucks,97,Philadelphia 76ers,77,"10,288",Wells Fargo Center
43,20150107,New York Knicks,91,Washington Wizards,101,"16,902",Verizon Center
44,20150107,Memphis Grizzlies,86,Atlanta Hawks,96,"17,126",Philips Arena
45,20150107,Boston Celtics,89,Brooklyn Nets,81,"16,005",Barclays Center
46,20150107,Utah Jazz,97,Chicago Bulls,77,"21,379",United Center
47,20150107,Detroit Pistons,108,Dallas Mavericks,95,"20,279",American Airlines Center
48,20150107,Orlando Magic,90,Denver Nuggets,93,"13,513",Pepsi Center
49,20150107,Phoenix Suns,113,Minnesota Timberwolves,111,"10,547",Target Center
50,20150107,Oklahoma City Thunder,83,Sacramento Kings,104,"16,037",Sleep Train Arena
51,20150107,Indiana Pacers,102,Golden State Warriors,117,"19,596",Oracle Arena
52,20150107,Los Angeles Lakers,89,Los Angeles Clippers,114,"19,487",STAPLES Center
53,20150108,Charlotte Hornets,103,Toronto Raptors,95,"19,800",Air Canada Centre
54,20150108,Houston Rockets,120,New York Knicks,96,"19,812",Madison Square Garden (IV)
55,20150108,Miami Heat,83,Portland Trail Blazers,99,"19,441",Moda Center
56,20150109,Boston Celtics,103,Indiana Pacers,107,"18,165",Bankers Life Fieldhouse
57,20150109,Philadelphia 76ers,90,Brooklyn Nets,88,"16,172",Barclays Center
58,20150109,Atlanta Hawks,106,Detroit Pistons,103,"18,859",The Palace of Auburn Hills
59,20150109,Memphis Grizzlies,95,New Orleans Pelicans,106,"17,639",Smoothie King Center
60,20150109,Utah Jazz,94,Oklahoma City Thunder,99,"18,203",Chesapeake Energy Arena
61,20150109,Chicago Bulls,86,Washington Wizards,102,"20,356",Verizon Center
62,20150109,Minnesota Timberwolves,84,Milwaukee Bucks,98,"15,480",BMO Harris Bradley Center
63,20150109,Phoenix Suns,95,San Antonio Spurs,100,"18,581",AT&T Center
64,20150109,Denver Nuggets,118,Sacramento Kings,108,"16,029",Sleep Train Arena
65,20150109,Cleveland Cavaliers,94,Golden State Warriors,112,"19,596",Oracle Arena
66,20150109,Orlando Magic,84,Los Angeles Lakers,101,"18,997",STAPLES Center
67,20150110,Charlotte Hornets,110,New York Knicks,82,"19,812",Madison Square Garden (IV)
68,20150110,Dallas Mavericks,100,Los Angeles Clippers,120,"19,060",STAPLES Center
69,20150110,Brooklyn Nets,93,Detroit Pistons,98,"19,301",The Palace of Auburn Hills
70,20150110,Indiana Pacers,92,Philadelphia 76ers,93,"17,496",Wells Fargo Center
71,20150110,Boston Celtics,96,Toronto Raptors,109,"19,800",Air Canada Centre
72,20150110,Milwaukee Bucks,87,Chicago Bulls,95,"21,781",United Center
73,20150110,Utah Jazz,82,Houston Rockets,97,"18,235",Toyota Center
74,20150110,San Antonio Spurs,108,Minnesota Timberwolves,93,"17,871",Target Center
75,20150110,Orlando Magic,92,Portland Trail Blazers,103,"19,546",Moda Center
76,20150111,Washington Wizards,89,Atlanta Hawks,120,"18,057",Philips Arena
77,20150111,Miami Heat,104,Los Angeles Clippers,90,"19,060",STAPLES Center
78,20150111,Phoenix Suns,110,Memphis Grizzlies,122,"17,212",FedEx Forum
79,20150111,Cleveland Cavaliers,84,Sacramento Kings,103,"16,143",Sleep Train Arena
80,20150111,Portland Trail Blazers,106,Los Angeles Lakers,94,"18,997",STAPLES Center
81,20150112,New Orleans Pelicans,100,Boston Celtics,108,"16,905",TD Garden
82,20150112,Houston Rockets,113,Brooklyn Nets,99,"16,115",Barclays Center
83,20150112,Detroit Pistons,114,Toronto Raptors,111,"19,800",Air Canada Centre
84,20150112,Orlando Magic,121,Chicago Bulls,114,"21,302",United Center
85,20150113,Minnesota Timberwolves,110,Indiana Pacers,101,"16,781",Bankers Life Fieldhouse
86,20150113,Atlanta Hawks,105,Philadelphia 76ers,87,"10,466",Wells Fargo Center
87,20150113,San Antonio Spurs,93,Washington Wizards,101,"18,116",Verizon Center
88,20150113,Cleveland Cavaliers,100,Phoenix Suns,107,"16,819",US Airways Center
89,20150113,Golden State Warriors,116,Utah Jazz,105,"19,911",EnergySolutions Arena
90,20150113,Dallas Mavericks,108,Sacramento Kings,104,"15,747",Sleep Train Arena
91,20150113,Miami Heat,78,Los Angeles Lakers,75,"18,997",STAPLES Center
92,20150114,San Antonio Spurs,98,Charlotte Hornets,93,"17,309",Time Warner Cable Arena
93,20150114,Houston Rockets,113,Orlando Magic,120,"16,828",Amway Center
94,20150114,Memphis Grizzlies,103,Brooklyn Nets,92,"16,516",Barclays Center
95,20150114,New Orleans Pelicans,105,Detroit Pistons,94,"12,016",The Palace of Auburn Hills
96,20150114,Philadelphia 76ers,84,Toronto Raptors,100,"19,800",Air Canada Centre
97,20150114,Atlanta Hawks,105,Boston Celtics,91,"16,067",TD Garden
98,20150114,Washington Wizards,105,Chicago Bulls,99,"21,498",United Center
99,20150114,Dallas Mavericks,107,Denver Nuggets,114,"14,022",Pepsi Center
100,20150114,Miami Heat,89,Golden State Warriors,104,"19,596",Oracle Arena
101,20150114,Los Angeles Clippers,100,Portland Trail Blazers,94,"19,441",Moda Center
102,20150115,New York Knicks,79,Milwaukee Bucks,95,"18,689",The O2 Arena
103,20150115,Oklahoma City Thunder,101,Houston Rockets,112,"18,315",Toyota Center
104,20150115,Cleveland Cavaliers,109,Los Angeles Lakers,102,"18,997",STAPLES Center
105,20150116,Detroit Pistons,98,Indiana Pacers,96,"17,558",Bankers Life Fieldhouse
106,20150116,Memphis Grizzlies,106,Orlando Magic,96,"18,141",Amway Center
107,20150116,New Orleans Pelicans,81,Philadelphia 76ers,96,"15,672",Wells Fargo Center
108,20150116,Brooklyn Nets,102,Washington Wizards,80,"17,788",Verizon Center
109,20150116,Chicago Bulls,119,Boston Celtics,103,"18,624",TD Garden
110,20150116,Atlanta Hawks,110,Toronto Raptors,89,"19,800",Air Canada Centre
111,20150116,Golden State Warriors,115,Oklahoma City Thunder,127,"18,203",Chesapeake Energy Arena
112,20150116,Denver Nuggets,89,Dallas Mavericks,97,"20,337",American Airlines Center
113,20150116,Portland Trail Blazers,96,San Antonio Spurs,110,"18,581",AT&T Center
114,20150116,Minnesota Timberwolves,99,Phoenix Suns,110,"17,441",US Airways Center
115,20150116,Los Angeles Lakers,85,Utah Jazz,94,"19,911",EnergySolutions Arena
116,20150116,Miami Heat,95,Sacramento Kings,83,"16,350",Sleep Train Arena
117,20150116,Cleveland Cavaliers,126,Los Angeles Clippers,121,"19,380",STAPLES Center
118,20150117,Indiana Pacers,71,Charlotte Hornets,80,"19,285",Time Warner Cable Arena
119,20150117,Philadelphia 76ers,89,Detroit Pistons,107,"15,496",The Palace of Auburn Hills
120,20150117,Washington Wizards,99,Brooklyn Nets,90,"17,732",Barclays Center
121,20150117,Atlanta Hawks,107,Chicago Bulls,99,"22,024",United Center
122,20150117,Golden State Warriors,131,Houston Rockets,106,"18,458",Toyota Center
123,20150117,Minnesota Timberwolves,113,Denver Nuggets,105,"14,821",Pepsi Center
124,20150117,Portland Trail Blazers,98,Memphis Grizzlies,102,"18,119",FedEx Forum
125,20150117,Los Angeles Clippers,117,Sacramento Kings,108,"16,601",Sleep Train Arena
126,20150118,New Orleans Pelicans,95,Toronto Raptors,93,"19,800",Air Canada Centre
127,20150118,Oklahoma City Thunder,127,Orlando Magic,99,"16,128",Amway Center
128,20150118,Utah Jazz,69,San Antonio Spurs,89,"18,581",AT&T Center
129,20150119,Minnesota Timberwolves,80,Charlotte Hornets,105,"17,989",Time Warner Cable Arena
130,20150119,Philadelphia 76ers,76,Washington Wizards,111,"19,040",Verizon Center
131,20150119,Detroit Pistons,82,Atlanta Hawks,93,"19,108",Philips Arena
132,20150119,Boston Celtics,93,Los Angeles Clippers,102,"19,060",STAPLES Center
133,20150119,Denver Nuggets,79,Golden State Warriors,122,"19,596",Oracle Arena
134,20150119,Dallas Mavericks,103,Memphis Grizzlies,95,"18,119",FedEx Forum
135,20150119,Indiana Pacers,98,Houston Rockets,110,"18,266",Toyota Center
136,20150119,New Orleans Pelicans,92,New York Knicks,99,"19,812",Madison Square Garden (IV)
137,20150119,Chicago Bulls,94,Cleveland Cavaliers,108,"20,562",Quicken Loans Arena
138,20150119,Toronto Raptors,92,Milwaukee Bucks,89,"12,707",BMO Harris Bradley Center
139,20150119,Los Angeles Lakers,100,Phoenix Suns,115,"17,435",US Airways Center
140,20150119,Sacramento Kings,94,Portland Trail Blazers,98,"19,441",Moda Center
141,20150120,Oklahoma City Thunder,94,Miami Heat,86,"19,735",AmericanAirlines Arena
142,20150120,San Antonio Spurs,109,Denver Nuggets,99,"14,434",Pepsi Center
143,20150121,Miami Heat,76,Charlotte Hornets,78,"16,914",Time Warner Cable Arena
144,20150121,Utah Jazz,92,Cleveland Cavaliers,106,"20,562",Quicken Loans Arena
145,20150121,New York Knicks,98,Philadelphia 76ers,91,"13,201",Wells Fargo Center
146,20150121,Indiana Pacers,91,Atlanta Hawks,110,"15,045",Philips Arena
147,20150121,Orlando Magic,118,Detroit Pistons,128,"12,148",The Palace of Auburn Hills
148,20150121,Toronto Raptors,86,Memphis Grizzlies,92,"15,112",FedEx Forum
149,20150121,Dallas Mavericks,98,Minnesota Timberwolves,75,"13,737",Target Center
150,20150121,Los Angeles Lakers,80,New Orleans Pelicans,96,"16,268",Smoothie King Center
151,20150121,Oklahoma City Thunder,105,Washington Wizards,103,"20,356",Verizon Center
152,20150121,Portland Trail Blazers,113,Phoenix Suns,118,"16,703",US Airways Center
153,20150121,Brooklyn Nets,103,Sacramento Kings,100,"16,427",Sleep Train Arena
154,20150121,Houston Rockets,113,Golden State Warriors,126,"19,596",Oracle Arena
155,20150122,San Antonio Spurs,81,Chicago Bulls,104,"21,648",United Center
156,20150122,Utah Jazz,101,Milwaukee Bucks,99,"12,415",BMO Harris Bradley Center
157,20150122,Boston Celtics,90,Portland Trail Blazers,89,"19,567",Moda Center
158,20150122,Brooklyn Nets,84,Los Angeles Clippers,123,"19,060",STAPLES Center
159,20150123,Toronto Raptors,91,Philadelphia 76ers,86,"13,640",Wells Fargo Center
160,20150123,Oklahoma City Thunder,93,Atlanta Hawks,103,"19,203",Philips Arena
161,20150123,Charlotte Hornets,90,Cleveland Cavaliers,129,"20,562",Quicken Loans Arena
162,20150123,Indiana Pacers,87,Miami Heat,89,"19,693",AmericanAirlines Arena
163,20150123,Orlando Magic,106,New York Knicks,113,"19,812",Madison Square Garden (IV)
164,20150123,Chicago Bulls,102,Dallas Mavericks,98,"20,408",American Airlines Center
165,20150123,New Orleans Pelicans,92,Minnesota Timberwolves,84,"14,978",Target Center
166,20150123,Los Angeles Lakers,85,San Antonio Spurs,99,"18,581",AT&T Center
167,20150123,Boston Celtics,100,Denver Nuggets,99,"16,133",Pepsi Center
168,20150123,Houston Rockets,113,Phoenix Suns,111,"16,701",US Airways Center
169,20150123,Sacramento Kings,101,Golden State Warriors,126,"19,596",Oracle Arena
170,20150124,New York Knicks,71,Charlotte Hornets,76,"19,117",Time Warner Cable Arena
171,20150124,Detroit Pistons,86,Milwaukee Bucks,101,"16,388",BMO Harris Bradley Center
172,20150124,Philadelphia 76ers,83,Memphis Grizzlies,101,"17,579",FedEx Forum
173,20150124,Brooklyn Nets,73,Utah Jazz,108,"19,352",EnergySolutions Arena
174,20150124,Washington Wizards,96,Portland Trail Blazers,103,"19,775",Moda Center
175,20150125,Miami Heat,96,Chicago Bulls,84,"21,918",United Center
176,20150125,Oklahoma City Thunder,98,Cleveland Cavaliers,108,"20,562",Quicken Loans Arena
177,20150125,Minnesota Timberwolves,100,Atlanta Hawks,112,"18,049",Philips Arena
178,20150125,Dallas Mavericks,106,New Orleans Pelicans,109,"17,687",Smoothie King Center
179,20150125,Indiana Pacers,106,Orlando Magic,99,"16,704",Amway Center
180,20150125,Los Angeles Clippers,120,Phoenix Suns,100,"17,066",US Airways Center
181,20150125,Milwaukee Bucks,95,San Antonio Spurs,101,"18,581",AT&T Center
182,20150125,Detroit Pistons,110,Toronto Raptors,114,"19,800",Air Canada Centre
183,20150125,Washington Wizards,117,Denver Nuggets,115,"15,410",Pepsi Center
184,20150125,Boston Celtics,111,Golden State Warriors,114,"19,596",Oracle Arena
185,20150125,Houston Rockets,99,Los Angeles Lakers,87,"18,997",STAPLES Center
186,20150126,Orlando Magic,94,Memphis Grizzlies,103,"15,407",FedEx Forum
187,20150126,Philadelphia 76ers,74,New Orleans Pelicans,99,"16,419",Smoothie King Center
188,20150126,Minnesota Timberwolves,84,Oklahoma City Thunder,92,"18,203",Chesapeake Energy Arena
189,20150126,Boston Celtics,99,Utah Jazz,90,"18,947",EnergySolutions Arena
190,20150126,Denver Nuggets,98,Los Angeles Clippers,102,"19,060",STAPLES Center
191,20150127,Toronto Raptors,104,Indiana Pacers,91,"16,204",Bankers Life Fieldhouse
192,20150127,Cleveland Cavaliers,103,Detroit Pistons,95,"18,178",The Palace of Auburn Hills
193,20150127,Milwaukee Bucks,109,Miami Heat,102,"19,789",AmericanAirlines Arena
194,20150127,Memphis Grizzlies,109,Dallas Mavericks,90,"20,160",American Airlines Center
195,20150127,Chicago Bulls,113,Golden State Warriors,111,"19,596",Oracle Arena
196,20150127,Washington Wizards,98,Los Angeles Lakers,92,"18,997",STAPLES Center
197,20150128,Portland Trail Blazers,94,Cleveland Cavaliers,99,"20,562",Quicken Loans Arena
198,20150128,Detroit Pistons,69,Philadelphia 76ers,89,"11,213",Wells Fargo Center
199,20150128,Sacramento Kings,102,Toronto Raptors,119,"19,800",Air Canada Centre
200,20150128,Brooklyn Nets,102,Atlanta Hawks,113,"18,047",Philips Arena
201,20150128,Dallas Mavericks,94,Houston Rockets,99,"18,237",Toyota Center
202,20150128,Boston Celtics,98,Minnesota Timberwolves,110,"11,434",Target Center
203,20150128,Denver Nuggets,93,New Orleans Pelicans,85,"16,055",Smoothie King Center
204,20150128,Oklahoma City Thunder,92,New York Knicks,100,"19,812",Madison Square Garden (IV)
205,20150128,Charlotte Hornets,86,San Antonio Spurs,95,"18,581",AT&T Center
206,20150128,Los Angeles Clippers,94,Utah Jazz,89,"16,322",EnergySolutions Arena
207,20150128,Washington Wizards,98,Phoenix Suns,106,"16,209",US Airways Center
208,20150129,New York Knicks,82,Indiana Pacers,103,"15,665",Bankers Life Fieldhouse
209,20150129,Milwaukee Bucks,115,Orlando Magic,100,"16,071",Amway Center
210,20150129,Denver Nuggets,69,Memphis Grizzlies,99,"16,736",FedEx Forum
211,20150129,Chicago Bulls,118,Los Angeles Lakers,123,"18,997",STAPLES Center
212,20150130,Minnesota Timberwolves,94,Philadelphia 76ers,103,"14,333",Wells Fargo Center
213,20150130,Portland Trail Blazers,99,Atlanta Hawks,105,"19,018",Philips Arena
214,20150130,Houston Rockets,93,Boston Celtics,87,"17,675",TD Garden
215,20150130,Toronto Raptors,127,Brooklyn Nets,122,"17,062",Barclays Center
216,20150130,Sacramento Kings,90,Cleveland Cavaliers,101,"20,562",Quicken Loans Arena
217,20150130,Dallas Mavericks,93,Miami Heat,72,"19,823",AmericanAirlines Arena
218,20150130,Los Angeles Clippers,103,New Orleans Pelicans,108,"17,932",Smoothie King Center
219,20150130,Golden State Warriors,100,Utah Jazz,110,"19,295",EnergySolutions Arena
220,20150130,Chicago Bulls,93,Phoenix Suns,99,"18,055",US Airways Center
221,20150131,Sacramento Kings,99,Indiana Pacers,94,"18,165",Bankers Life Fieldhouse
222,20150131,Dallas Mavericks,108,Orlando Magic,93,"17,626",Amway Center
223,20150131,Toronto Raptors,120,Washington Wizards,116,"20,356",Verizon Center
224,20150131,Philadelphia 76ers,85,Atlanta Hawks,91,"19,006",Philips Arena
225,20150131,Houston Rockets,101,Detroit Pistons,114,"18,213",The Palace of Auburn Hills
226,20150131,Oklahoma City Thunder,74,Memphis Grizzlies,85,"18,119",FedEx Forum
227,20150131,Cleveland Cavaliers,106,Minnesota Timberwolves,90,"19,562",Target Center
228,20150131,Portland Trail Blazers,88,Milwaukee Bucks,95,"18,717",BMO Harris Bradley Center
229,20150131,Charlotte Hornets,104,Denver Nuggets,86,"13,302",Pepsi Center
230,20150131,Los Angeles Clippers,105,San Antonio Spurs,85,"18,581",AT&T Center
231,20150131,Phoenix Suns,87,Golden State Warriors,106,"19,596",Oracle Arena
232,20150201,Miami Heat,83,Boston Celtics,75,"17,366",TD Garden
233,20150201,Los Angeles Lakers,80,New York Knicks,92,"19,812",Madison Square Garden (IV)
234,20150202,Philadelphia 76ers,84,Cleveland Cavaliers,97,"20,562",Quicken Loans Arena
235,20150202,Charlotte Hornets,92,Washington Wizards,88,"15,816",Verizon Center
236,20150202,Los Angeles Clippers,100,Brooklyn Nets,102,"16,037",Barclays Center
237,20150202,Milwaukee Bucks,82,Toronto Raptors,75,"19,800",Air Canada Centre
238,20150202,Atlanta Hawks,100,New Orleans Pelicans,115,"15,487",Smoothie King Center
239,20150202,Orlando Magic,97,Oklahoma City Thunder,104,"18,203",Chesapeake Energy Arena
240,20150202,Minnesota Timberwolves,94,Dallas Mavericks,100,"19,989",American Airlines Center
241,20150202,Memphis Grizzlies,102,Phoenix Suns,101,"17,199",US Airways Center
242,20150203,Denver Nuggets,98,Philadelphia 76ers,105,"10,290",Wells Fargo Center
243,20150203,Miami Heat,91,Detroit Pistons,108,"12,768",The Palace of Auburn Hills
244,20150203,Boston Celtics,108,New York Knicks,97,"19,812",Madison Square Garden (IV)
245,20150203,Utah Jazz,102,Portland Trail Blazers,103,"19,441",Moda Center
246,20150203,Golden State Warriors,121,Sacramento Kings,96,"17,317",Sleep Train Arena
247,20150204,Detroit Pistons,109,Indiana Pacers,114,"15,892",Bankers Life Fieldhouse
248,20150204,Washington Wizards,96,Atlanta Hawks,105,"18,047",Philips Arena
249,20150204,Denver Nuggets,100,Boston Celtics,104,"15,126",TD Garden
250,20150204,Brooklyn Nets,109,Toronto Raptors,93,"19,800",Air Canada Centre
251,20150204,Chicago Bulls,90,Houston Rockets,101,"18,325",Toyota Center
252,20150204,Los Angeles Lakers,105,Milwaukee Bucks,113,"12,544",BMO Harris Bradley Center
253,20150204,Miami Heat,101,Minnesota Timberwolves,102,"11,517",Target Center
254,20150204,Oklahoma City Thunder,102,New Orleans Pelicans,91,"17,156",Smoothie King Center
255,20150204,Orlando Magic,103,San Antonio Spurs,110,"18,581",AT&T Center
256,20150204,Memphis Grizzlies,100,Utah Jazz,90,"19,911",EnergySolutions Arena
257,20150204,Dallas Mavericks,114,Golden State Warriors,128,"19,596",Oracle Arena
258,20150205,Washington Wizards,87,Charlotte Hornets,94,"17,019",Time Warner Cable Arena
259,20150205,Los Angeles Clippers,94,Cleveland Cavaliers,105,"20,562",Quicken Loans Arena
260,20150205,Dallas Mavericks,101,Sacramento Kings,78,"16,993",Sleep Train Arena
261,20150205,Phoenix Suns,87,Portland Trail Blazers,108,"19,488",Moda Center
262,20150206,New York Knicks,88,Brooklyn Nets,92,"17,732",Barclays Center
263,20150206,Cleveland Cavaliers,99,Indiana Pacers,103,"18,165",Bankers Life Fieldhouse
264,20150206,Los Angeles Lakers,97,Orlando Magic,103,"16,206",Amway Center
265,20150206,Los Angeles Clippers,107,Toronto Raptors,123,"19,800",Air Canada Centre
266,20150206,Golden State Warriors,116,Atlanta Hawks,124,"19,225",Philips Arena
267,20150206,Philadelphia 76ers,96,Boston Celtics,107,"18,322",TD Garden
268,20150206,Denver Nuggets,88,Detroit Pistons,98,"17,035",The Palace of Auburn Hills
269,20150206,Milwaukee Bucks,111,Houston Rockets,117,"18,239",Toyota Center
270,20150206,Memphis Grizzlies,89,Minnesota Timberwolves,90,"14,388",Target Center
271,20150206,New Orleans Pelicans,116,Oklahoma City Thunder,113,"18,203",Chesapeake Energy Arena
272,20150206,Utah Jazz,93,Phoenix Suns,100,"18,055",US Airways Center
273,20150206,Miami Heat,85,San Antonio Spurs,98,"18,581",AT&T Center
274,20150207,Chicago Bulls,107,New Orleans Pelicans,72,"18,402",Smoothie King Center
275,20150207,Brooklyn Nets,77,Washington Wizards,114,"20,356",Verizon Center
276,20150207,Golden State Warriors,106,New York Knicks,92,"19,812",Madison Square Garden (IV)
277,20150207,Charlotte Hornets,81,Philadelphia 76ers,89,"16,739",Wells Fargo Center
278,20150207,Portland Trail Blazers,101,Dallas Mavericks,111,"20,398",American Airlines Center
279,20150207,Boston Celtics,93,Milwaukee Bucks,96,"16,470",BMO Harris Bradley Center
280,20150207,Sacramento Kings,90,Utah Jazz,102,"19,128",EnergySolutions Arena
281,20150208,Los Angeles Clippers,108,Oklahoma City Thunder,131,"18,203",Chesapeake Energy Arena
282,20150208,Los Angeles Lakers,105,Cleveland Cavaliers,120,"20,562",Quicken Loans Arena
283,20150208,Indiana Pacers,103,Charlotte Hornets,102,"16,991",Time Warner Cable Arena
284,20150208,Minnesota Timberwolves,112,Detroit Pistons,101,"16,075",The Palace of Auburn Hills
285,20150208,Atlanta Hawks,88,Memphis Grizzlies,94,"18,119",FedEx Forum
286,20150208,Chicago Bulls,98,Orlando Magic,97,"16,944",Amway Center
287,20150208,Portland Trail Blazers,109,Houston Rockets,98,"18,243",Toyota Center
288,20150208,San Antonio Spurs,82,Toronto Raptors,87,"19,800",Air Canada Centre
289,20150208,Phoenix Suns,83,Sacramento Kings,85,"17,013",Sleep Train Arena
290,20150209,San Antonio Spurs,95,Indiana Pacers,93,"16,691",Bankers Life Fieldhouse
291,20150209,Golden State Warriors,89,Philadelphia 76ers,84,"16,247",Wells Fargo Center
292,20150209,Orlando Magic,80,Washington Wizards,96,"16,031",Verizon Center
293,20150209,New York Knicks,95,Miami Heat,109,"19,851",AmericanAirlines Arena
294,20150209,Brooklyn Nets,97,Milwaukee Bucks,103,"12,431",BMO Harris Bradley Center
295,20150209,Atlanta Hawks,117,Minnesota Timberwolves,105,"10,987",Target Center
296,20150209,Utah Jazz,100,New Orleans Pelicans,96,"15,321",Smoothie King Center
297,20150209,Los Angeles Clippers,115,Dallas Mavericks,98,"20,082",American Airlines Center
298,20150209,Oklahoma City Thunder,124,Denver Nuggets,114,"16,511",Pepsi Center
299,20150210,Detroit Pistons,106,Charlotte Hornets,78,"15,876",Time Warner Cable Arena
300,20150210,Sacramento Kings,86,Chicago Bulls,104,"21,560",United Center
301,20150210,Brooklyn Nets,86,Memphis Grizzlies,95,"16,901",FedEx Forum
302,20150210,Houston Rockets,127,Phoenix Suns,118,"17,071",US Airways Center
303,20150210,Denver Nuggets,106,Los Angeles Lakers,96,"18,466",STAPLES Center
304,20150211,New York Knicks,83,Orlando Magic,89,"15,473",Amway Center
305,20150211,Atlanta Hawks,88,Boston Celtics,89,"16,083",TD Garden
306,20150211,San Antonio Spurs,104,Detroit Pistons,87,"14,617",The Palace of Auburn Hills
307,20150211,Washington Wizards,93,Toronto Raptors,95,"19,800",Air Canada Centre
308,20150211,Miami Heat,93,Cleveland Cavaliers,113,"20,562",Quicken Loans Arena
309,20150211,Sacramento Kings,103,Milwaukee Bucks,111,"13,046",BMO Harris Bradley Center
310,20150211,Golden State Warriors,94,Minnesota Timberwolves,91,"14,303",Target Center
311,20150211,Indiana Pacers,106,New Orleans Pelicans,93,"17,074",Smoothie King Center
312,20150211,Memphis Grizzlies,89,Oklahoma City Thunder,105,"18,203",Chesapeake Energy Arena
313,20150211,Utah Jazz,82,Dallas Mavericks,87,"19,947",American Airlines Center
314,20150211,Los Angeles Lakers,86,Portland Trail Blazers,102,"19,585",Moda Center
315,20150211,Houston Rockets,95,Los Angeles Clippers,110,"19,060",STAPLES Center
316,20150212,Cleveland Cavaliers,98,Chicago Bulls,113,"21,920",United Center
317,20150219,Dallas Mavericks,89,Oklahoma City Thunder,104,"18,203",Chesapeake Energy Arena
318,20150219,San Antonio Spurs,115,Los Angeles Clippers,119,"19,358",STAPLES Center
319,20150220,New Orleans Pelicans,84,Orlando Magic,95,"18,259",Amway Center
320,20150220,Indiana Pacers,106,Philadelphia 76ers,95,"16,777",Wells Fargo Center
321,20150220,Toronto Raptors,105,Atlanta Hawks,80,"18,968",Philips Arena
322,20150220,Chicago Bulls,91,Detroit Pistons,100,"19,053",The Palace of Auburn Hills
323,20150220,Miami Heat,111,New York Knicks,87,"19,812",Madison Square Garden (IV)
