,date,visitor_team,visitor_team_points,home_team,home_team_points,attendance,arena
9763,20211118,San Antonio Spurs,90,Minnesota Timberwolves,115,"13,572",Target Center
9764,20211118,Philadelphia 76ers,103,Denver Nuggets,89,"14,547",Ball Arena
9765,20211118,Toronto Raptors,103,Utah Jazz,119,"18,306",Vivint Smart Home Arena
9766,20211119,Indiana Pacers,118,Charlotte Hornets,121,"16,787",Spectrum Center
9767,20211119,Golden State Warriors,105,Detroit Pistons,102,"20,088",Little Caesars Arena
9768,20211119,Los Angeles Lakers,108,Boston Celtics,130,"19,156",TD Garden
9769,20211119,Orlando Magic,113,Brooklyn Nets,115,"16,966",Barclays Center
9770,20211119,Oklahoma City Thunder,89,Milwaukee Bucks,96,"17,341",Fiserv Forum
9771,20211119,Los Angeles Clippers,81,New Orleans Pelicans,94,"15,274",Smoothie King Center
9772,20211119,Chicago Bulls,114,Denver Nuggets,108,"19,520",Ball Arena
9773,20211119,Dallas Mavericks,104,Phoenix Suns,112,"17,071",Phoenix Suns Arena
9774,20211119,Toronto Raptors,108,Sacramento Kings,89,"13,159",Golden 1 Center
9775,20211120,Houston Rockets,99,New York Knicks,106,"19,812",Madison Square Garden (IV)
9776,20211120,New Orleans Pelicans,94,Indiana Pacers,111,"15,081",Gainbridge Fieldhouse
9777,20211120,Miami Heat,100,Washington Wizards,103,"20,476",Capital One Arena
9778,20211120,Charlotte Hornets,105,Atlanta Hawks,115,"17,320",State Farm Arena
9779,20211120,Oklahoma City Thunder,105,Boston Celtics,111,"19,156",TD Garden
9780,20211120,Orlando Magic,108,Milwaukee Bucks,117,"17,341",Fiserv Forum
9781,20211120,Memphis Grizzlies,95,Minnesota Timberwolves,138,"17,136",Target Center
9782,20211120,Philadelphia 76ers,111,Portland Trail Blazers,118,"17,027",Moda Center
9783,20211120,Utah Jazz,123,Sacramento Kings,105,"13,180",Golden 1 Center
9784,20211121,Dallas Mavericks,91,Los Angeles Clippers,97,"17,149",Crypto.com Arena
9785,20211121,Los Angeles Lakers,121,Detroit Pistons,116,"15,532",Little Caesars Arena
9786,20211121,New York Knicks,103,Chicago Bulls,109,"21,813",United Center
9787,20211121,Denver Nuggets,97,Phoenix Suns,126,"16,072",Phoenix Suns Arena
9788,20211121,Toronto Raptors,104,Golden State Warriors,119,"18,064",Chase Center
9789,20211122,Brooklyn Nets,117,Cleveland Cavaliers,112,"17,387",Rocket Mortgage Fieldhouse
9790,20211122,Charlotte Hornets,109,Washington Wizards,103,"16,575",Capital One Arena
9791,20211122,Oklahoma City Thunder,101,Atlanta Hawks,113,"15,806",State Farm Arena
9792,20211122,Houston Rockets,90,Boston Celtics,108,"19,156",TD Garden
9793,20211122,Indiana Pacers,109,Chicago Bulls,77,"21,586",United Center
9794,20211122,Orlando Magic,92,Milwaukee Bucks,123,"17,341",Fiserv Forum
9795,20211122,Minnesota Timberwolves,110,New Orleans Pelicans,96,"15,689",Smoothie King Center
9796,20211122,Phoenix Suns,115,San Antonio Spurs,111,"14,715",AT&T Center
9797,20211122,Memphis Grizzlies,119,Utah Jazz,118,"18,306",Vivint Smart Home Arena
9798,20211122,Philadelphia 76ers,102,Sacramento Kings,94,"13,948",Golden 1 Center
9799,20211123,Miami Heat,100,Detroit Pistons,92,"13,123",Little Caesars Arena
9800,20211123,Los Angeles Lakers,100,New York Knicks,106,"19,812",Madison Square Garden (IV)
9801,20211123,Denver Nuggets,100,Portland Trail Blazers,119,"17,052",Moda Center
9802,20211123,Dallas Mavericks,112,Los Angeles Clippers,104,"17,067",Crypto.com Arena
9803,20211124,Phoenix Suns,120,Cleveland Cavaliers,115,"18,055",Rocket Mortgage Fieldhouse
9804,20211124,Los Angeles Lakers,124,Indiana Pacers,116,"15,572",Gainbridge Fieldhouse
9805,20211124,Charlotte Hornets,106,Orlando Magic,99,"16,114",Amway Center
9806,20211124,Brooklyn Nets,123,Boston Celtics,104,"19,156",TD Garden
9807,20211124,Chicago Bulls,113,Houston Rockets,118,"16,074",Toyota Center
9808,20211124,Toronto Raptors,126,Memphis Grizzlies,113,"15,409",FedEx Forum
9809,20211124,Detroit Pistons,93,Milwaukee Bucks,114,"17,341",Fiserv Forum
9810,20211124,Miami Heat,101,Minnesota Timberwolves,113,"17,136",Target Center
9811,20211124,Washington Wizards,102,New Orleans Pelicans,127,"14,659",Smoothie King Center
9812,20211124,Utah Jazz,110,Oklahoma City Thunder,104,"14,081",Paycom Center
9813,20211124,Atlanta Hawks,124,San Antonio Spurs,106,"13,161",AT&T Center
9814,20211124,Philadelphia 76ers,96,Golden State Warriors,116,"18,064",Chase Center
